date,즐,성덕,사이다,멘탈,갑분싸,OMG,느좋,버카충,어쩔티비,졸부,홍대병,엄친딸,생파,레게노,패피,따봉,추구미,낄끼빠빠,소확행,꾸안꾸,레알,에바
2004-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-11-01,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
2005-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2005-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-09-01,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2007-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2007-04-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007-06-01,4,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2007-07-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2007-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007-09-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2007-10-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2007-11-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5
2007-12-01,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2008-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2008-02-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2008-03-01,3,73,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2008-04-01,0,100,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2008-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2008-06-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008-07-01,4,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008-08-01,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2008-09-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2008-10-01,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2008-11-01,4,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
2008-12-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2009-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2009-02-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2009-03-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2009-04-01,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
2009-05-01,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
2009-06-01,3,73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6
2009-07-01,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2009-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2009-09-01,3,0,22,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
2009-10-01,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2009-11-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
2009-12-01,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2010-01-01,3,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,3,8
2010-02-01,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
2010-03-01,2,0,0,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
2010-04-01,3,52,0,3,0,21,0,0,0,0,0,28,0,0,0,0,0,0,0,0,3,6
2010-05-01,3,0,0,3,0,36,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,6
2010-06-01,2,0,26,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
2010-07-01,3,0,17,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2010-08-01,2,0,32,3,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5
2010-09-01,2,37,24,5,0,15,0,0,0,0,0,14,0,0,0,0,0,0,0,0,10,8
2010-10-01,3,57,20,6,0,14,0,0,0,0,0,28,0,0,0,12,0,0,0,0,21,28
2010-11-01,9,95,22,5,0,18,0,0,0,0,0,26,0,0,0,0,0,0,0,0,34,7
2010-12-01,9,46,30,5,0,17,0,0,0,0,0,9,0,0,0,12,0,0,0,0,18,10
2011-01-01,3,44,27,4,0,22,0,0,0,0,0,100,57,0,0,12,0,0,0,0,33,7
2011-02-01,3,44,13,6,0,23,0,0,0,0,0,10,0,0,0,10,0,0,0,0,10,13
2011-03-01,3,35,16,5,0,16,0,0,0,0,0,8,0,0,0,0,0,0,0,0,7,5
2011-04-01,2,49,27,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7
2011-05-01,2,41,24,5,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
2011-06-01,2,35,25,7,0,16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,7
2011-07-01,3,29,21,5,0,18,0,0,0,0,0,0,0,0,100,9,0,0,0,0,4,5
2011-08-01,2,19,28,7,0,16,0,0,0,0,0,1,0,0,0,7,0,0,0,0,7,6
2011-09-01,2,33,29,6,0,14,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,6
2011-10-01,3,40,22,7,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2011-11-01,3,54,15,8,0,15,0,0,0,0,0,30,0,0,0,0,0,0,0,0,6,5
2011-12-01,2,41,17,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
2012-01-01,3,39,26,19,0,21,0,100,0,0,0,3,33,0,0,0,0,0,0,0,31,19
2012-02-01,3,64,25,100,0,19,0,0,0,0,0,56,0,0,0,4,0,0,0,0,19,7
2012-03-01,3,61,17,24,0,19,0,0,0,0,0,2,0,0,0,4,0,0,0,0,14,11
2012-04-01,2,43,20,20,0,17,0,0,0,0,0,1,0,0,0,5,0,0,0,0,11,6
2012-05-01,2,42,18,22,0,16,0,0,0,0,0,0,0,0,69,6,0,0,0,0,5,8
2012-06-01,2,38,22,21,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7
2012-07-01,2,30,28,15,0,15,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,6
2012-08-01,2,33,25,12,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,6
2012-09-01,8,22,19,8,0,10,0,0,0,0,0,1,0,0,0,5,0,0,0,0,5,5
2012-10-01,3,30,17,10,0,12,0,0,0,4,0,0,0,0,0,5,0,0,0,0,5,6
2012-11-01,2,35,15,10,0,13,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,6
2012-12-01,3,30,17,11,0,15,0,0,0,0,0,0,48,0,0,0,0,0,0,0,6,6
2013-01-01,3,24,19,14,0,9,0,0,0,0,0,0,80,0,0,5,0,0,0,0,8,5
2013-02-01,3,37,16,19,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,10,5
2013-03-01,3,40,13,21,0,8,0,0,0,0,0,0,27,0,0,4,0,0,0,0,6,5
2013-04-01,3,31,19,19,0,11,0,0,0,0,0,0,33,0,0,8,0,0,0,0,6,9
2013-05-01,3,20,20,15,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,100
2013-06-01,3,30,22,9,0,9,0,0,0,0,0,0,32,0,0,9,0,0,0,0,5,11
2013-07-01,3,20,21,8,0,15,0,0,0,0,0,1,0,0,0,11,0,0,0,0,4,8
2013-08-01,2,22,25,9,0,12,0,0,0,0,0,0,42,0,0,11,0,0,0,0,5,7
2013-09-01,2,24,19,8,0,21,0,0,0,0,0,2,28,0,0,6,0,0,0,0,5,6
