Word,Word_Length,Max_Rising_Slope,Initial_Volatility,Initial_Decay_Rate,Lifetime (Months)
즐,1,9.0,2.4961508830135317,3.0,Ongoing
성덕,2,0.0,0.0,0.0,2
사이다,3,0.0,0.0,0.0,Ongoing
멘탈,2,0.0,0.0,0.0,Ongoing
갑분싸,3,0.0,0.0,0.0,48
OMG,3,0.0,0.0,0.0,Ongoing
느좋,2,0.0,0.0,0.0,Ongoing
버카충,3,0.0,0.0,0.0,79
어쩔티비,4,0.0,0.0,0.0,Ongoing
졸부,2,100.0,27.735009811261456,14.285714285714286,1
홍대병,3,0.0,0.0,0.0,Ongoing
엄친딸,3,20.0,5.547001962252291,10.0,77
생파,2,0.0,0.0,0.0,155
레게노,3,0.0,0.0,0.0,Ongoing
패피,2,0.0,0.0,0.0,1
따봉,2,0.0,0.0,0.0,Ongoing
추구미,3,0.0,0.0,0.0,Ongoing
소확행,3,0.0,0.0,0.0,Ongoing
